Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Switzerland,"4,402,438",,"14,452",,"4,384,636",,"3,350",39,"501,780","1,647","23,833,472","2,716,487","8,773,637"
Philippines,"4,106,974","+1,476","66,453",,"4,027,815",+895,"12,706",162,"36,504",591,"35,083,713","311,830","112,508,994"
South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135"
Romania,"3,397,365",,"68,117",,"3,322,007","+7,368","7,241",114,"178,514","3,579","27,242,332","1,431,446","19,031,335"
Denmark,"3,181,098",+74,"8,614",+8,"3,171,720",+61,764,10,"545,180","1,476","129,273,104","22,154,963","5,834,950"
Hong Kong,"2,895,359",+583,"13,615",+10,"2,871,542",+96,"10,202",28,"380,753","1,790","76,127,725","10,011,143","7,604,299"
Sweden,"2,707,189",,"24,141",,"2,679,625",+128,"3,423",8,"264,918","2,362","19,500,873","1,908,301","10,218,971"
Serbia,"2,537,580",,"18,030",,"2,513,046",,"6,504",12,"293,260","2,084","12,831,103","1,482,847","8,653,016"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965"
Singapore,"2,391,248",,"1,727",,"2,149,583",,"239,938",2,"402,327",291,"24,756,666","4,165,302","5,943,546"
New Zealand,"2,336,352",,"4,202",,"2,321,339",,"10,811",,"476,981",858,"7,768,604","1,586,011","4,898,203"
Hungary,"2,202,179",+355,"48,859",+10,"2,149,848",+556,"3,472",8,"229,244","5,086","11,394,556","1,186,160","9,606,259"
Bangladesh,"2,038,250",,"29,446",,"1,998,448",,"10,356",N/A,"12,141",175,"15,254,399","90,862","167,885,689"
Slovakia,"1,866,647",,"21,167",,"1,845,145",,335,13,"341,865","3,877","7,428,816","1,360,541","5,460,193"
Georgia,"1,840,187",,"17,059",,"1,776,548",,"46,580",,"463,671","4,298","16,920,079","4,263,340","3,968,738"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
Ireland,"1,710,625",,"8,866",,"1,699,569",,"2,190",19,"340,748","1,766","13,083,449","2,606,161","5,020,199"
Pakistan,"1,580,900",,"30,660",,"1,538,689",,"11,551",9,"6,889",134,"30,571,377","133,215","229,488,994"
Norway,"1,483,454",,"5,435",,"1,477,323",,696,20,"269,162",986,"11,002,430","1,996,315","5,511,370"
Finland,"1,475,378",,"9,373",,"1,461,491",+271,"4,514",21,"265,597","1,687","12,090,288","2,176,485","5,554,960"
Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707","19,205,043"
Slovenia,"1,343,528",+37,"7,100",,"1,328,006",,"8,422",8,"646,538","3,417","2,847,701","1,370,382","2,078,034"
Lithuania,"1,319,221",+103,"9,673",,"1,307,951",+123,"1,597",1,"495,629","3,634","10,442,463","3,923,219","2,661,708"
Bulgaria,"1,305,520",,"38,345",,"1,264,665",,"2,510",26,"190,737","5,602","11,197,817","1,636,008","6,844,597"
Morocco,"1,273,463",,"16,297",,"1,256,151",,"1,015",3,"33,714",431,"13,001,033","344,191","37,772,756"
Croatia,"1,273,256",,"18,213",,"1,254,564",,479,6,"313,665","4,487","5,588,632","1,376,752","4,059,286"
Guatemala,"1,249,615",,"20,198",,"1,227,832",,"1,585",5,"67,241","1,087","7,260,821","390,702","18,584,039"
Lebanon,"1,237,127",,"10,906",,"1,087,587",,"138,634",74,"185,064","1,631","4,795,578","717,380","6,684,849"
Costa Rica,"1,228,659",,"9,351",,"860,711",,"358,597",52,"237,085","1,804","4,659,757","899,158","5,182,354"
Bolivia,"1,197,788",+57,"22,382",,"1,166,919",+35,"8,487",220,"99,877","1,866","2,705,422","225,590","11,992,656"
Tunisia,"1,153,063",,"29,407",,N/A,N/A,N/A,44,"95,716","2,441","5,011,219","415,984","12,046,656"
Cuba,"1,113,542",+35,"8,530",,"1,104,838",+23,174,2,"98,494",754,"14,345,279","1,268,859","11,305,652"
